star_rating,title,content_rating,genre,duration,actors_list
8.5,Inception,PG-13,Sci-Fi,148,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page"
7.2,Toy Story,PG,Animation,81,"Tom Hanks, Tim Allen, Don Rickles"
9.0,The Shawshank Redemption,R,Drama,142,"Tim Robbins, Morgan Freeman, Bob Gunton"
6.8,The Room,R,Drama,99,"Tommy Wiseau, Greg Sestero, Juliette Danielle"
8.0,The Dark Knight,PG-13,Action,152,"Christian Bale, Heath Ledger, Aaron Eckhart"
7.5,Avatar,PG-13,Sci-Fi,162,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
8.3,Interstellar,PG-13,Sci-Fi,169,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
7.0,The Lion King,G,Animation,88,"Matthew Broderick, Jeremy Irons, James Earl Jones"
9.2,The Godfather,R,Crime,175,"Marlon Brando, Al Pacino, James Caan"
6.9,Donnie Darko,R,Drama,113,"Jake Gyllenhaal, Jena Malone, Mary McDonnell"
8.1,Gladiator,R,Action,155,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
7.8,The Matrix,R,Sci-Fi,136,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
8.4,The Departed,R,Crime,151,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
7.4,Shutter Island,R,Thriller,138,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley"
9.1,Pulp Fiction,R,Crime,154,"John Travolta, Uma Thurman, Samuel L. Jackson"
6.7,Midsommar,R,Horror,147,"Florence Pugh, Jack Reynor, Vilhelm Blomgren"
8.7,Parasite,R,Thriller,132,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo"
7.6,Her,PG-13,Drama,126,"Joaquin Phoenix, Scarlett Johansson, Amy Adams"
8.2,Inglourious Basterds,R,War,153,"Brad Pitt, Christoph Waltz, Mélanie Laurent"
7.3,Looper,R,Sci-Fi,119,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt"
9.3,12 Angry Men,NR,Drama,96,"Henry Fonda, Lee J. Cobb, Martin Balsam"
6.5,A Clockwork Orange,X,Drama,136,"Malcolm McDowell, Patrick Magee, Michael Bates"
8.6,The Grand Budapest Hotel,R,Comedy,99,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
7.9,The Revenant,R,Adventure,156,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson"
8.8,Whiplash,R,Drama,107,"Miles Teller, J.K. Simmons, Paul Reiser"
6.6,The Witch,R,Horror,93,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie"
8.9,La La Land,PG-13,Musical,128,"Ryan Gosling, Emma Stone, John Legend"
7.7,The Social Network,PG-13,Drama,120,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake"
8.0,The Imitation Game,PG-13,Drama,113,"Benedict Cumberbatch, Keira Knightley, Matthew Goode"
7.1,Gravity,PG-13,Sci-Fi,91,"Sandra Bullock, George Clooney, Ed Harris"
8.2,The Hateful Eight,R,Western,168,"Kurt Russell, Jennifer Jason Leigh, Samuel L. Jackson"
7.0,Deadpool,R,Action,108,"Ryan Reynolds, Morena Baccarin, T.J. Miller"
8.5,The Big Lebowski,R,Comedy,117,"Jeff Bridges, John Goodman, Julianne Moore"
6.9,The Babadook,NR,Horror,93,"Essie Davis, Noah Wiseman, Daniel Henshall"
8.3,Memento,R,Thriller,113,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
7.4,The Nice Guys,R,Action,116,"Russell Crowe, Ryan Gosling, Angourie Rice"
9.2,Spirited Away,PG,Animation,125,"Rumi Hiiragi, Miyu Irino, Mari Natsuki"
7.5,The Lobster,R,Drama,118,"Colin Farrell, Rachel Weisz, Jessica Barden"
8.4,The Truman Show,PG,Drama,103,"Jim Carrey, Laura Linney, Ed Harris"
7.3,The Prestige,PG-13,Thriller,130,"Christian Bale, Hugh Jackman, Scarlett Johansson"
