sepal_boy,sepal_en,petal_boy,petal_en,tur
6.2,3.5,5.0,1.6,setosa
5.7,2.8,4.9,1.7,setosa
5.7,3.0,4.2,1.6,setosa
6.2,2.9,4.3,1.3,setosa
5.9,3.0,5.1,1.8,setosa
5.1,2.5,3.0,1.1,setosa
5.7,3.1,4.9,1.5,setosa
6.1,2.6,5.6,1.4,setosa
5.6,3.0,4.5,1.5,setosa
5.8,2.6,4.0,1.2,setosa
5.1,3.4,4.2,1.5,setosa
6.4,3.2,4.5,1.5,setosa
6.5,3.0,5.5,1.8,setosa
5.8,2.7,5.1,1.9,setosa
5.4,3.0,4.5,1.6,setosa
6.3,2.8,5.1,1.5,setosa
6.1,3.0,5.6,1.8,setosa
5.6,3.0,4.1,1.3,setosa
6.3,2.9,5.6,1.8,setosa
5.5,3.5,4.2,1.4,setosa
